time	V(vout)
1.509792553474886e-03	5.216301e+00
1.514069307896712e-03	5.245917e+00
1.519550013672608e-03	4.386757e+00
1.524931006512436e-03	3.120731e+00
1.530500229453448e-03	1.846449e+00
1.535804479365527e-03	9.081128e-01
1.541441206842253e-03	2.922873e-01
1.547785550291143e-03	1.735023e-02
1.550483550128883e-03	7.752450e-03
1.551890877531694e-03	2.078104e-02
1.553290522395114e-03	4.326912e-02
1.555311689489141e-03	8.879247e-02
1.557994427706225e-03	1.657441e-01
1.561569976064273e-03	2.825662e-01
1.566032323343272e-03	4.277866e-01
1.571761482078990e-03	5.823935e-01
1.579169079133843e-03	7.046559e-01
1.590436391129407e-03	7.483813e-01
1.599577693374203e-03	7.125663e-01
1.610065047182595e-03	6.652284e-01
1.621878235986997e-03	6.399488e-01
1.638555224400175e-03	6.440600e-01
1.658086474400175e-03	6.581350e-01
1.677617724400175e-03	6.584610e-01
1.697148974400175e-03	6.543930e-01
1.716680224400175e-03	6.541389e-01
1.736211474400175e-03	6.553084e-01
1.755742724400175e-03	6.554279e-01
1.775273974400175e-03	6.550936e-01
1.794805224400175e-03	6.550458e-01
1.814336474400175e-03	6.551409e-01
1.833867724400175e-03	6.551585e-01
1.853398974400175e-03	6.551316e-01
1.872930224400175e-03	6.551254e-01
1.892461474400175e-03	6.551329e-01
1.911992724400175e-03	6.551350e-01
1.931523974400175e-03	6.551329e-01
1.951055224400175e-03	6.551322e-01
1.970586474400175e-03	6.551328e-01
1.990117724400175e-03	6.551331e-01
2.009648974400175e-03	6.551329e-01
2.029180224400175e-03	6.551328e-01
2.048711474400175e-03	6.551329e-01
2.068242724400175e-03	6.551329e-01
2.087773974400175e-03	6.551329e-01
2.107305224400175e-03	6.551329e-01
2.126836474400175e-03	6.551329e-01
2.146367724400175e-03	6.551329e-01
2.165898974400175e-03	6.551329e-01
2.185430224400175e-03	6.551329e-01
2.204961474400175e-03	6.551329e-01
2.224492724400175e-03	6.551329e-01
2.244023974400175e-03	6.551329e-01
2.263555224400175e-03	6.551329e-01
2.283086474400175e-03	6.551329e-01
2.302617724400175e-03	6.551329e-01
2.322148974400175e-03	6.551329e-01
2.341680224400175e-03	6.551329e-01
2.361211474400175e-03	6.551329e-01
2.380742724400175e-03	6.551329e-01
2.400273974400175e-03	6.551329e-01
2.419805224400175e-03	6.551329e-01
2.439336474400175e-03	6.551329e-01
2.458867724400175e-03	6.551329e-01
2.478398974400175e-03	6.551329e-01
2.497930224400175e-03	6.551329e-01
2.517461474400175e-03	6.551329e-01
2.536992724400175e-03	6.551329e-01
2.556523974400175e-03	6.551329e-01
2.576055224400175e-03	6.551329e-01
2.595586474400175e-03	6.551329e-01
2.615117724400175e-03	6.551329e-01
2.634648974400175e-03	6.551329e-01
2.654180224400175e-03	6.551329e-01
2.673711474400175e-03	6.551329e-01
2.693242724400175e-03	6.551329e-01
2.712773974400175e-03	6.551329e-01
2.732305224400176e-03	6.551329e-01
2.751836474400176e-03	6.551329e-01
2.771367724400176e-03	6.551329e-01
2.790898974400176e-03	6.551329e-01
2.810430224400176e-03	6.551329e-01
2.829961474400176e-03	6.551329e-01
