tiempo_s,teoria_v
0.0001546473236618309,1.5116725248890834
0.00015480740370185092,1.50902415753973
0.0001549674837418709,1.506399173159932
0.00015512756378189093,1.5037978637530258
0.00015528764382191095,1.5012205167603638
0.00015544772386193094,1.4986674150370116
0.00015560780390195096,1.4961388368282067
0.00015576788394197096,1.493635055746582
0.00015592796398199098,1.491156340750145
0.000156088044022011,1.48870295612102
0.000156248124062031,1.4862751614449548
0.000156408204102051,1.4838732115915814
0.00015656828414207103,1.4814973566954468
0.00015672836418209103,1.4791478421378008
0.00015688844422211105,1.4768249085291414
0.00015704852426213104,1.474528791692528
0.00015720860430215106,1.4722597226476486
0.00015736868434217108,1.4700179275956504
0.00015752876438219107,1.4678036279047273
0.0001576888444222111,1.465617040096464
0.0001578489244622311,1.4634583758329425
0.0001580090045022511,1.461327841904596
0.00015816908454227113,1.4592256402188277
0.00015832916458229112,1.4571519677893743
0.00015848924462231114,1.455107016726427
0.00015864932466233116,1.4530909742275036
0.00015880940470235116,1.4511040225690663
0.00015896948474237118,1.4491463390988886
0.00015912956478239117,1.4472180962291716
0.0001592896448224112,1.445319461430398
0.0001594497248624312,1.4434505972259342
0.0001596098049024512,1.441611661187369
0.00015976988494247123,1.4398028059305896
0.00015992996498249122,1.4380241791125963
0.00016009004502251124,1.4362759234290468
0.00016025012506253126,1.4345581766125355
0.00016041020510255125,1.4328710714315966
0.00016057028514257127,1.431214735690435
0.00016073036518259127,1.4295892922293816
0.0001608904452226113,1.4279948589260643
0.0001610505252626313,1.4264315486973003
0.0001612106053026513,1.4248994695017005
0.00016137068534267132,1.4233987243429844
0.00016153076538269134,1.4219294112740046
0.00016169084542271134,1.420491623401473
0.00016185092546273136,1.4190854488913907
0.00016201100550275135,1.4177109709751734
0.00016217108554277137,1.4163682679564724
0.0001623311655827914,1.4150574132186848
0.00016249124562281138,1.4137784752331517
0.0001626513256628314,1.4125315175680353
0.0001628114057028514,1.4113165988978817
0.00016297148574287142,1.410133773013851
0.00016313156578289144,1.4089830888346242
0.00016329164582291143,1.4078645904179732
0.00016345172586293145,1.4067783169729948
0.00016361180590295147,1.4057243028730015
0.00016377188594297147,1.404702577669068
0.00016393196598299149,1.4037131661042237
0.00016409204602301148,1.4027560881282948
0.0001642521260630315,1.4018313589133797
0.00016441220610305152,1.4009389888699673
0.0001645722861430715,1.4000789836636789
0.00016473236618309153,1.3992513442326402
0.00016489244622311153,1.398456066805473
0.00016505252626313155,1.397693142919902
0.00016521260630315157,1.3969625594419715
0.00016537268634317156,1.3962642985858715
0.00016553276638319158,1.3955983379343593
0.0001656928464232116,1.3949646504597786
0.0001658529264632316,1.394363204545669
0.00016601300650325162,1.3937939640089587
0.0001661730865432716,1.3932568881227356
0.00016633316658329163,1.3927519316395933
0.00016649324662331165,1.392279044815544
0.00016665332666333164,1.391838173434493
0.00016681340670335166,1.39142925883327
0.00016697348674337166,1.3910522379272123
0.00016713356678339168,1.39070704323629
0.0001672936468234117,1.3903936029117734
0.0001674537268634317,1.3901118407634299
0.0001676138069034517,1.3898616762872504
0.00016777388694347173,1.3896430246936968
0.00016793396698349173,1.3894557969364612
0.00016809404702351175,1.3892998997417374
0.00016825412706353174,1.3891752356379925
0.00016841420710355176,1.389081702986236
0.00016857428714357178,1.3890191960107774
0.00016873436718359177,1.3889876048304688
0.0001688944472236118,1.3889868154904241
0.0001690545272636318,1.3890167099942077
0.0001692146073036518,1.3890771663364894
0.00016937468734367183,1.3891680585361557
0.00016953476738369182,1.389289256669872
0.00016969484742371184,1.389440626906091
0.00016985492746373186,1.3896220315394965
0.00017001500750375186,1.38983332902588
0.00017017508754377188,1.3900743740174415
0.00017033516758379187,1.390345017398508
0.0001704952476238119,1.3906451063216616
0.0001706553276638319,1.3909744842442744
0.0001708154077038519,1.3913329909654366
0.00017097548774387192,1.3917204626632802
0.00017113556778389192,1.39213673193268
0.00017129564782391194,1.3925816278233365
0.00017145572786393196,1.393054975878224
0.00017161580790395195,1.393556598172404
0.00017177588794397197,1.3940863133521935
0.00017193596798399197,1.3946439366746786
0.00017209604802401199,1.3952292800475754
0.000172256128064032,1.3958421520694184
0.000172416208104052,1.396482358070081
0.00017257628814407202,1.3971497001516129
0.00017273636818409204,1.3978439772293914
0.00017289644822411203,1.3985649850735786
0.00017305652826413205,1.3993125163508762
0.00017321660830415205,1.4000863606665708
0.00017337668834417207,1.4008863046068656
0.0001735367683841921,1.4017121317814851
0.00017369684842421208,1.4025636228665532
0.0001738569284642321,1.40344055564773
0.0001740170085042521,1.4043427050636053
0.00017417708854427212,1.4052698432493391
0.00017433716858429214,1.4062217395805432
0.00017449724862431213,1.4071981607173938
0.00017465732866433215,1.4081988706489725
0.00017481740870435217,1.4092236307378228
0.00017497748874437216,1.4102721997647194
0.00017513756878439219,1.411344333973642
0.00017529764882441218,1.4124397871169425
0.0001754577288644322,1.4135583105007048
0.00017561780890445222,1.4146996530302833
0.0001757778889444722,1.415863561256017
0.00017593796898449223,1.4170497794191133
0.00017609804902451223,1.4182580494976855
0.00017625812906453225,1.4194881112529503
0.00017641820910455227,1.4207397022755641
0.00017657828914457226,1.4220125580321006
0.00017673836918459228,1.4233064119116583
0.0001768984492246123,1.4246209952725915
0.0001770585292646323,1.4259560374893565
0.00017721860930465232,1.4273112659994682
0.0001773786893446723,1.4286864063505564
0.00017753876938469233,1.4300811822475186
0.00017769884942471235,1.4314953155997563
0.00017785892946473234,1.4329285265684966
0.00017801900950475236,1.4343805336141817
0.00017817908954477236,1.4358510535439264
0.00017833916958479238,1.4373398015590335
0.0001784992496248124,1.4388464913025605
0.0001786593296648324,1.4403708349069289
0.0001788194097048524,1.4419125430415747
0.00017897948974487243,1.4434713249606248
0.00017913956978489243,1.4450468885505972
0.00017929964982491245,1.4466389403781195
0.00017945972986493244,1.4482471857376524
0.00017961980990495246,1.44987132869922
0.00017977988994497248,1.45151107215613
0.00017993996998499247,1.4531661178726858
0.0001801000500250125,1.4548361665318787
0.0001802601300650325,1.4565209177830536
0.0001804202101050525,1.4582200702895431
0.00018058029014507253,1.4599333217762616
0.00018074037018509252,1.4616603690772538
0.00018090045022511254,1.4634009081831927
0.00018106053026513256,1.4651546342888115
0.00018122061030515256,1.4669212418402773
0.00018138069034517258,1.4687004245824873
0.00018154077038519257,1.4704918756062848
0.0001817008504252126,1.4722952873955946
0.0001818609304652326,1.4741103518744587
0.0001820210105052526,1.475936760453979
0.00018218109054527262,1.4777742040791524
0.00018234117058529262,1.479622373275592
0.00018250125062531264,1.4814809581961341
0.00018266133066533266,1.4833496486673174
0.00018282141070535265,1.4852281342357336
0.00018298149074537267,1.4871161042142398
0.00018314157078539267,1.4890132477280271
0.00018330165082541269,1.4909192537605427
0.0001834617308654327,1.4928338111992514
0.0001836218109054527,1.4947566088812412
0.00018378189094547272,1.496687335638659
0.00018394197098549274,1.4986256803439704
0.00018410205102551273,1.5005713319550438
0.00018426213106553275,1.5025239795600485
0.00018442221110555275,1.5044833124221584
0.00018458229114557277,1.506449020024064
0.0001847423711855928,1.5084207921122772
0.00018490245122561278,1.5103983187412306
0.0001850625312656328,1.5123812903171636
0.0001852226113056528,1.5143693976417831
0.00018538269134567282,1.5163623319557096
0.00018554277138569284,1.5183597849816821
0.00018570285142571283,1.520361448967535
0.00018586293146573285,1.522367016728931
0.00018602301150575287,1.5243761816918457
0.00018618309154577286,1.5263886379348035
0.00018634317158579288,1.5284040802308567
0.00018650325162581288,1.5304222040892999
0.0001866633316658329,1.5324427057971206
0.00018682341170585292,1.5344652824601748
0.0001869834917458729,1.5364896320440868
0.00018714357178589293,1.5385154534148713
0.00018730365182591293,1.540542446379258
0.00018746373186593295,1.5425703117247398
0.00018762381190595297,1.5445987512593102
0.00018778389194597296,1.5466274678509098
0.00018794397198599298,1.548656165466565
0.000188104052026013,1.550684549211212
0.000188264132066033,1.552712325366215
0.00018842421210605301,1.554739201427559
0.000188584292146073,1.5567648861437204
0.00018874437218609303,1.558789089553215
0.00018890445222611305,1.5608115230218076
0.00018906453226613304,1.5628318992793904
0.00018922461230615306,1.5648499324565224
0.00018938469234617306,1.5668653381206197
0.00018954477238619308,1.5688778333118054
0.0001897048524262131,1.5708871365784014
0.0001898649324662331,1.5728929680120687
0.0001900250125062531,1.5748950492825868
0.00019018509254627313,1.5768931036722718
0.00019034517258629312,1.578886856110026
0.00019050525262631314,1.5808760332050198
0.00019066533266633314,1.5828603632799982
0.00019082541270635316,1.584839576404212
0.00019098549274637318,1.5868134044259665
0.00019114557278639317,1.5887815810047898
0.0001913056528264132,1.590743841643213
0.00019146573286643319,1.5926999237181583
0.0001916258129064532,1.5946495665119393
0.00019178589294647323,1.5965925112428605
0.00019194597298649322,1.5985285010954187
0.00019210605302651324,1.6004572812501079
0.00019226613306653326,1.6023785989128116
0.00019242621310655325,1.6042922033437943
0.00019258629314657328,1.6061978458862805
0.00019274637318659327,1.6080952799946207
0.0001929064532266133,1.609984261262044
0.0001930665332666333,1.6118645474479933
0.0001932266133066533,1.613735898505038
0.00019338669334667332,1.6155980766053701
0.00019354677338669332,1.617450846166868
0.00019370685342671334,1.6192939738787429
0.00019386693346673336,1.6211272287267484
0.00019402701350675335,1.6229503820179658
0.00019418709354677337,1.6247632074051535
0.00019434717358679336,1.6265654809106616
0.00019450725362681339,1.6283569809499132
0.0001946673336668334,1.6301374883544448
0.0001948274137068534,1.6319067863945078
0.00019498749374687342,1.633664660801231
0.00019514757378689344,1.635410899788336
0.00019530765382691343,1.6371452940734124
0.00019546773386693345,1.6388676368987456
0.00019562781390695345,1.6405777240516974
0.00019578789394697347,1.6422753538846386
0.0001959479739869935,1.643960327334433
0.00019610805402701348,1.64563244794147
0.0001962681340670335,1.6472915218682465
0.0001964282141070535,1.6489373579174949
0.00019658829414707352,1.65056976754986
0.00019674837418709354,1.6521885649011185
0.00019690845422711353,1.6537935667989463
0.00019706853426713355,1.65538459277923
0.00019722861430715357,1.6569614651019189
0.00019738869434717356,1.6585240087664244
0.00019754877438719358,1.66007205152656
0.00019770885442721358,1.6616054239050213
0.0001978689344672336,1.6631239592074138
0.00019802901450725362,1.6646274935358154
0.0001981890945472736,1.6661158658018853
0.00019834917458729363,1.6675889177395125
0.00019850925462731363,1.6690464939170035
0.00019866933466733365,1.6704884417488157
0.00019882941470735367,1.671914611506827
0.00019898949474737366,1.6733248563311502
0.00019914957478739368,1.6747190322404875
0.0001993096548274137,1.6760969981420264
0.0001994697348674337,1.677458615840878
0.00019962981490745371,1.6788037500490605
0.0001997898949474737,1.6801322683940187
0.00019994997498749373,1.6814440414266965
0.00020011005502751375,1.6827389426291428
0.00020027013506753374,1.6840168484216713
0.00020043021510755376,1.6852776381695616
0.00020059029514757376,1.6865211941893028
0.00020075037518759378,1.6877474017543934
0.0002009104552276138,1.688956149100679
0.0002010705352676338,1.690147327431245
0.0002012306153076538,1.6913208309208585
0.00020139069534767383,1.6924765567199571
0.00020155077538769382,1.6936144049581952
0.00020171085542771384,1.6947342787475403
0.00020187093546773384,1.6958360841849234
0.00020203101550775386,1.6969197303544477
0.00020219109554777388,1.6979851293291526
0.00020235117558779387,1.6990321961723358
0.0002025112556278139,1.700060848938439
0.00020267133566783389,1.7010710086734901
0.0002028314157078539,1.7020625994151135
0.00020299149574787393,1.7030355481921031
0.00020315157578789392,1.703989785023561
0.00020331165582791394,1.7049252429176085
0.00020347173586793396,1.7058418578696621
0.00020363181590795395,1.7067395688602875
0.00020379189594797397,1.7076183178526232
0.00020395197598799397,1.7084780497893821
0.000204112056028014,1.7093187125894331
0.000204272136068034,1.710140257143959
0.000204432216108054,1.7109426373122003
0.00020459229614807402,1.7117258099167838
0.00020475237618809402,1.712489734738636
0.00020491245622811404,1.7132343745114873
0.00020507253626813406,1.7139596949159683
0.00020523261630815405,1.7146656645732985
0.00020539269634817407,1.7153522550385745
0.00020555277638819406,1.7160194407936544
0.00020571285642821408,1.7166671992396467
0.0002058729364682341,1.717295510689
0.0002060330165082541,1.7179043583572038
0.00020619309654827412,1.7184937283540958
0.00020635317658829414,1.7190636096747842
0.00020651325662831413,1.7196139941901825
0.00020667333666833415,1.7201448766371656
0.00020683341670835415,1.7206562546083444
0.00020699349674837417,1.7211481285414654
0.0002071535767883942,1.7216205017084378
0.00020731365682841418,1.7220733802039894
0.0002074737368684342,1.722506772933957
0.0002076338169084542,1.7229206916032105
0.00020779389694847421,1.723315150703221
0.00020795397698849424,1.723690167499265
0.00020811405702851423,1.7240457620172802
0.00020827413706853425,1.7243819570303665
0.00020843421710855427,1.7246987780449416
0.00020859429714857426,1.7249962532865513
0.00020875437718859428,1.725274413685338
0.00020891445722861428,1.7255332928611737
0.0002090745372686343,1.7257729271084574
0.00020923461730865432,1.7259933553805828
0.0002093946973486743,1.7261946192740771
0.00020955477738869433,1.72637676301242
0.00020971485742871432,1.7265398334295385
0.00020987493746873434,1.7266838799529884
0.00021003501750875437,1.7268089545868226
0.00021019509754877436,1.7269151118941488
0.00021035517758879438,1.727002408979385
0.0002105152576288144,1.7270709054702102
0.0002106753376688344,1.727120663499221
0.0002108354177088544,1.727151747685291
0.0002109954977488744,1.7271642251146408
0.00021115557778889443,1.7271581653216261
0.00021131565782891445,1.7271336402692357
0.00021147573786893444,1.7270907243293192
0.00021163581790895446,1.7270294942625342
0.00021179589794897445,1.7269500291980266
0.00021195597798899448,1.7268524106128433
0.0002121160580290145,1.7267367223110819
0.0002122761380690345,1.7266030504027832
0.0002124362181090545,1.7264514832825681
0.00021259629814907453,1.7262821116080262
0.00021275637818909452,1.7260950282778553
0.00021291645822911454,1.7258903284097613
0.00021307653826913454,1.7256681093181196
0.00021323661830915456,1.7254284704914018
0.00021339669834917458,1.725171513569375
0.00021355677838919457,1.724897342320073
0.0002137168584292146,1.7246060626165483
0.00021387693846923458,1.7242977824134067
0.0002140370185092546,1.7239726117231287
0.00021419709854927463,1.7236306625921838
0.00021435717858929462,1.7232720490769387
0.00021451725862931464,1.722896887219367
0.00021467733866933466,1.7225052950225646
0.00021483741870935465,1.7220973924260694
0.00021499749874937467,1.7216733012809993
0.00021515757878939467,1.7212331453250047
0.0002153176588294147,1.7207770501570432
0.0002154777388694347,1.7203051432119802
0.0002156378189094547,1.7198175537350209
0.00021579789894947472,1.719314412755976
0.00021595797898949472,1.7187958530633678
0.00021611805902951474,1.7182620091783785
0.00021627813906953476,1.7177130173286472
0.00021643821910955475,1.71714901542192
0.00021659829914957477,1.716570143019555
0.00021675837918959476,1.7159765413098906
0.00021691845922961478,1.7153683530814772
0.0002170785392696348,1.714745722696181
0.0002172386193096548,1.7141087960621613
0.00021739869934967482,1.7134577206067245
0.00021755877938969484,1.712792645249066
0.00021771885942971483,1.7121137203728953
0.00021787893946973485,1.7114210977989548
0.00021803901950975485,1.7107149307574359
0.00021819909954977487,1.7099953738602944
0.00021835917958979489,1.7092625830734722
0.00021851925962981488,1.7085167156890286
0.0002186793396698349,1.7077579302971835
0.0002188394197098549,1.7069863867582837
0.00021899949974987491,1.7062022461746873
0.00021915957978989493,1.705405670862578
0.00021931965982991493,1.7045968243237095
0.00021947973986993495,1.7037758712170878
0.00021963981990995497,1.7029429773305913
0.00021979989994997496,1.702098309552538
0.00021995997998999498,1.7012420358431999
0.00022012006003001498,1.7003743252062722
0.000220280140070035,1.6994953476602983
0.00022044022011005502,1.69860527421006
0.000220600300150075,1.6977042768179298
0.00022076038019009503,1.696792528375198
0.00022092046023011502,1.695870202673371
0.00022108054027013504,1.694937474375452
0.00022124062031015506,1.6939945189872028
0.00022140070035017506,1.6930415128283942
0.00022156078039019508,1.692078633004048
0.0002217208604302151,1.6911060573756755
0.0002218809404702351,1.690123964532517
0.0002220410205102551,1.689132533762782
0.0002222011005502751,1.6881319450249048
0.00022236118059029513,1.6871223789188052
0.00022252126063031515,1.6861040166571728
0.00022268134067033514,1.6850770400367674
0.00022284142071035516,1.684041631409748
0.00022300150075037515,1.682997973655029
0.00022316158079039517,1.6819462501496685
0.0002233216608304152,1.680886644740299
0.0002234817408704352,1.679819341714593
0.0002236418209104552,1.6787445257727782
0.00022380190095047523,1.6776623819992
0.00022396198099049522,1.6765730958339382
0.00022412206103051524,1.6754768530444797
0.00022428214107053526,1.6743738396974537
0.00022444222111055526,1.6732642421304305
0.00022460230115057525,1.6721482469237898
0.0002247623811905953,1.6710260408726603
0.0002249224612306153,1.6698978109589389
0.00022508254127063528,1.6687637443233847
0.00022524262131065533,1.667624028237803
0.00022540270135067533,1.6664788500773122
0.00022556278139069532,1.6653283972927038
0.0002257228614307153,1.6641728573828982
0.00022588294147073536,1.663012417867497
0.00022604302151075535,1.6618472662594408
0.00022620310155077535,1.6606775900377682
0.0002263631815907954,1.659503576620488
0.0002265232616308154,1.6583254133375653
0.00022668334167083538,1.6571432874040173
0.00022684342171085543,1.6559573858931365
0.00022700350175087542,1.654767895709834
0.00022716358179089541,1.6535750035641092
0.00022732366183091546,1.6523788959446484
0.00022748374187093546,1.6511797590925619
0.00022764382191095545,1.6499777789752517
0.00022780390195097544,1.6487731412604212
0.0002279639819909955,1.6475660312902318
0.00022812406203101548,1.6463566340556004
0.00022828414207103548,1.64514513417065
0.00022844422211105552,1.6439317158473106
0.00022860430215107552,1.642716562870081
0.0002287643821910955,1.6414998585709424
0.00022892446223111556,1.6402817858044378
0.00022908454227113555,1.6390625269229195
0.00022924462231115554,1.6378422637519567
0.0002294047023511756,1.6366211775659216
0.00022956478239119559,1.635399449063746
0.00022972486243121558,1.634177258344852
0.00022988494247123557,1.6329547848852684
0.00023004502251125562,1.6317322075139216
0.0002302051025512756,1.630509704389121
0.0002303651825912956,1.6292874529752224
0.00023052526263131565,1.6280656300194858
