x-axis,1,2
second,Volt,Volt
-94.1000E-06,+2.4924622848E+00,+2.5728642941E+00
-94.0000E-06,+2.4235462770E+00,+2.5728642941E+00
-93.9000E-06,+2.4350322783E+00,+2.5728642941E+00
-93.8000E-06,+2.4120602757E+00,+2.5958362967E+00
-93.7000E-06,+2.4120602757E+00,+2.5269202888E+00
-93.6000E-06,+2.4694902823E+00,+2.5843502954E+00
-93.5000E-06,+2.4580042809E+00,+2.6188082993E+00
-93.4000E-06,+2.4924622849E+00,+2.6532663032E+00
-93.3000E-06,+2.5269202888E+00,+2.5384062901E+00
-93.2000E-06,+2.4809762835E+00,+2.5843502954E+00
-93.1000E-06,+2.4350322783E+00,+2.5498922914E+00
-93.0000E-06,+2.5728642941E+00,+2.7336683124E+00
-92.9000E-06,+2.4235462770E+00,+2.6532663032E+00
-92.8000E-06,+2.4465182796E+00,+2.5384062901E+00
-92.7000E-06,+2.5728642941E+00,+2.5728642941E+00
-92.6000E-06,+2.4120602757E+00,+2.5613782927E+00
-92.5000E-06,+2.4809762835E+00,+2.6302943006E+00
-92.4000E-06,+2.5154342875E+00,+2.6877243072E+00
-92.3000E-06,+2.4694902822E+00,+2.5498922914E+00
-92.2000E-06,+2.4235462770E+00,+2.5154342875E+00
-92.1000E-06,+2.4580042809E+00,+2.6302943006E+00
-92.0000E-06,+2.7336683124E+00,+2.6532663032E+00
-91.9000E-06,+2.4580042809E+00,+2.6188082993E+00
-91.8000E-06,+2.4235462770E+00,+2.5843502954E+00
-91.7000E-06,+2.4694902823E+00,+2.6073222980E+00
-91.6000E-06,+2.4005742744E+00,+2.5154342875E+00
-91.5000E-06,+2.5039482862E+00,+2.5843502953E+00
-91.4000E-06,+2.3776022717E+00,+2.5384062901E+00
-91.3000E-06,+2.5728642940E+00,+2.5728642941E+00
-91.2000E-06,+2.4120602757E+00,+2.6073222980E+00
-91.1000E-06,+2.4235462770E+00,+2.5498922914E+00
-91.0000E-06,+2.4694902823E+00,+2.4465182795E+00
-90.9000E-06,+2.4694902822E+00,+2.4005742744E+00
-90.8000E-06,+2.4235462770E+00,+2.5154342875E+00
-90.7000E-06,+2.3661162704E+00,+2.6188082993E+00
-90.6000E-06,+2.4924622849E+00,+2.4924622849E+00
-90.5000E-06,+2.4580042809E+00,+2.5843502954E+00
-90.4000E-06,+2.3776022717E+00,+2.4924622849E+00
-90.3000E-06,+2.4350322783E+00,+2.4120602757E+00
-90.2000E-06,+2.4694902822E+00,+2.5498922914E+00
-90.1000E-06,+2.3316582665E+00,+2.4235462770E+00
-90.0000E-06,+2.3316582665E+00,+2.4465182796E+00
-89.9000E-06,+2.3316582665E+00,+2.4924622848E+00
-89.8000E-06,+2.3661162704E+00,+2.4120602757E+00
-89.7000E-06,+2.4005742743E+00,+2.4924622849E+00
-89.6000E-06,+2.2742282599E+00,+2.4694902823E+00
-89.5000E-06,+2.4120602757E+00,+2.5498922914E+00
-89.4000E-06,+2.2397702560E+00,+2.4924622849E+00
-89.3000E-06,+2.2972002625E+00,+2.4120602757E+00
-89.2000E-06,+2.3316582665E+00,+2.2512562573E+00
-89.1000E-06,+2.1823402495E+00,+2.4235462770E+00
-89.0000E-06,+2.1823402494E+00,+2.4005742743E+00
-88.9000E-06,+2.2972002625E+00,+2.3316582665E+00
-88.8000E-06,+2.2742282599E+00,+2.3546302691E+00
-88.7000E-06,+2.1593682468E+00,+2.3201722652E+00
-88.6000E-06,+2.2053122521E+00,+2.2972002625E+00
-88.5000E-06,+2.2512562573E+00,+2.4120602756E+00
-88.4000E-06,+2.2167982534E+00,+2.3201722651E+00
-88.3000E-06,+2.1019382402E+00,+2.1938262508E+00
-88.2000E-06,+2.1134242415E+00,+2.2742282599E+00
-88.1000E-06,+2.1134242416E+00,+2.3546302691E+00
-88.0000E-06,+2.1593682468E+00,+2.3086862639E+00
-87.9000E-06,+2.0445082337E+00,+2.2167982533E+00
-87.8000E-06,+2.2512562572E+00,+2.1708542481E+00
-87.7000E-06,+2.1019382403E+00,+2.2053122520E+00
-87.6000E-06,+2.0100502297E+00,+2.1708542481E+00
-87.5000E-06,+2.0330222323E+00,+2.1938262507E+00
-87.4000E-06,+2.0674802363E+00,+2.1249102428E+00
-87.3000E-06,+2.0100502297E+00,+2.1708542481E+00
-87.2000E-06,+1.9641062245E+00,+2.1019382402E+00
-87.1000E-06,+1.8492462114E+00,+2.1708542481E+00
-87.0000E-06,+1.9296482205E+00,+2.0789662376E+00
-86.9000E-06,+1.9296482205E+00,+2.0904522389E+00
-86.8000E-06,+1.9870782271E+00,+1.9296482205E+00
-86.7000E-06,+1.8951902166E+00,+2.1478822455E+00
-86.6000E-06,+1.8033022060E+00,+2.0789662376E+00
-86.5000E-06,+1.8492462113E+00,+2.0100502297E+00
-86.4000E-06,+1.9296482205E+00,+2.0100502297E+00
-86.3000E-06,+1.8837042153E+00,+2.0100502297E+00
-86.2000E-06,+1.8607322127E+00,+1.8607322127E+00
-86.1000E-06,+1.8722182140E+00,+1.8377602100E+00
-86.0000E-06,+1.6310121864E+00,+1.9066762179E+00
-85.9000E-06,+1.7114141956E+00,+1.9755922258E+00
-85.8000E-06,+1.7573582009E+00,+1.7688442022E+00
-85.7000E-06,+1.6884421930E+00,+1.6884421930E+00
-85.6000E-06,+1.6884421930E+00,+1.7343861982E+00
-85.5000E-06,+1.5965541825E+00,+1.8377602100E+00
-85.4000E-06,+1.6080401838E+00,+1.8492462113E+00
-85.3000E-06,+1.6080401838E+00,+1.8033022061E+00
-85.2000E-06,+1.6080401838E+00,+1.6884421930E+00
-85.1000E-06,+1.5276381746E+00,+1.6539841890E+00
-85.0000E-06,+1.5276381746E+00,+1.6884421930E+00
-84.9000E-06,+1.4127781615E+00,+1.5620961785E+00
-84.8000E-06,+1.4816941694E+00,+1.6195261851E+00
-84.7000E-06,+1.4242641628E+00,+1.4931801706E+00
-84.6000E-06,+1.4702081680E+00,+1.5850681811E+00
-84.5000E-06,+1.3668341562E+00,+1.5276381746E+00
-84.4000E-06,+1.4472361654E+00,+1.4931801706E+00
-84.3000E-06,+1.3668341562E+00,+1.4472361654E+00
-84.2000E-06,+1.2979181482E+00,+1.4816941693E+00
-84.1000E-06,+1.2175161392E+00,+1.3898061589E+00
-84.0000E-06,+1.2175161391E+00,+1.4242641628E+00
-83.9000E-06,+1.1945441366E+00,+1.2864321470E+00
-83.8000E-06,+1.2060301378E+00,+1.3553481549E+00
-83.7000E-06,+1.2634601443E+00,+1.3323761523E+00
